,Make,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,TOYOTA,159749.0,159889.0,157589.0,153163.0,145054.0,141463.0,144071.0,144077.0,148316.0,148293.0,147170.0
1,HONDA,89969.0,89193.0,87747.0,85636.0,85669.0,93680.0,94942.0,96201.0,106086.0,108531.0,109692.0
2,MERCEDES BENZ,33057.0,36131.0,38554.0,41525.0,44800.0,48469.0,53136.0,56726.0,61048.0,64886.0,69018.0
3,B.M.W.,30496.0,34817.0,37691.0,39518.0,40521.0,41631.0,43535.0,44517.0,44720.0,45269.0,47690.0
4,MAZDA,21990.0,21715.0,21542.0,21949.0,24028.0,27210.0,31969.0,34024.0,34646.0,34965.0,36407.0
5,HYUNDAI,44177.0,43953.0,42643.0,39626.0,33859.0,28416.0,27711.0,30445.0,32269.0,32382.0,33670.0
6,NISSAN,56380.0,55651.0,54360.0,52273.0,47161.0,42613.0,40045.0,37620.0,34599.0,32885.0,32275.0
7,KIA,22987.0,23247.0,23080.0,22749.0,20614.0,18997.0,20683.0,22138.0,23290.0,23576.0,24138.0
8,VOLKSWAGEN,13223.0,16698.0,19466.0,21801.0,24319.0,26470.0,27644.0,27187.0,24936.0,22832.0,21819.0
9,AUDI,9641.0,11227.0,12882.0,14204.0,15874.0,17535.0,19007.0,20205.0,20298.0,20554.0,21396.0
10,MITSUBISHI,35558.0,34957.0,34117.0,32440.0,29549.0,26775.0,23986.0,20973.0,21415.0,21294.0,20752.0
11,SUBARU,13882.0,13771.0,13609.0,13670.0,14217.0,15063.0,15313.0,15730.0,15328.0,15206.0,15131.0
12,VOLVO,7148.0,7959.0,8499.0,8901.0,9368.0,9961.0,10539.0,10742.0,10149.0,9733.0,9488.0
13,PORSCHE,2784.0,3243.0,3539.0,3857.0,4368.0,4832.0,5339.0,5816.0,6338.0,6851.0,7492.0
14,SUZUKI,14778.0,14754.0,14566.0,14214.0,13339.0,11693.0,9095.0,7052.0,6538.0,6333.0,6143.0
15,MINI,2010.0,2272.0,2400.0,2502.0,2672.0,2882.0,3088.0,3421.0,3758.0,4040.0,4441.0
