,Make,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,MERCEDES BENZ,3074.0,2423.0,2971.0,3275.0,3669.0,4667.0,3590.0,4322.0,3838.0,4132.0
1,B.M.W.,4321.0,2874.0,1827.0,1003.0,1110.0,1904.0,982.0,203.0,549.0,2421.0
2,MAZDA,-275.0,-173.0,407.0,2079.0,3182.0,4759.0,2055.0,622.0,319.0,1442.0
3,HYUNDAI,-224.0,-1310.0,-3017.0,-5767.0,-5443.0,-705.0,2734.0,1824.0,113.0,1288.0
4,HONDA,-776.0,-1446.0,-2111.0,33.0,8011.0,1262.0,1259.0,9885.0,2445.0,1161.0
5,TESLA,,,,,,,,14.0,20.0,924.0
6,AUDI,1586.0,1655.0,1322.0,1670.0,1661.0,1472.0,1198.0,93.0,256.0,842.0
7,PORSCHE,459.0,296.0,318.0,511.0,464.0,507.0,477.0,522.0,513.0,641.0
8,KIA,260.0,-167.0,-331.0,-2135.0,-1617.0,1686.0,1455.0,1152.0,286.0,562.0
9,M.G.,-1.0,0.0,0.0,1.0,5.0,-1.0,0.0,2.0,344.0,523.0
10,SKODA,47.0,-6.0,-20.0,-43.0,-49.0,-56.0,366.0,729.0,607.0,443.0
11,MINI,262.0,128.0,102.0,170.0,210.0,206.0,333.0,337.0,282.0,401.0
12,OPEL,6.0,17.0,-55.0,-240.0,-131.0,657.0,-17.0,375.0,124.0,283.0
13,SEAT,,,,,,199.0,215.0,327.0,245.0,203.0
14,SSANGYONG,6.0,1.0,1.0,60.0,225.0,300.0,-82.0,-15.0,208.0,129.0
15,BYD,,,,,,63.0,32.0,7.0,2.0,89.0
16,ROLLS ROYCE,40.0,54.0,16.0,15.0,19.0,22.0,29.0,41.0,50.0,88.0
17,MASERATI,72.0,43.0,25.0,53.0,35.0,81.0,87.0,74.0,86.0,88.0
18,BENTLEY,88.0,112.0,54.0,47.0,27.0,42.0,30.0,48.0,60.0,84.0
19,PEUGEOT,459.0,193.0,55.0,170.0,84.0,132.0,-78.0,-529.0,-174.0,84.0
20,FERRARI,74.0,59.0,17.0,22.0,-2.0,6.0,18.0,35.0,39.0,62.0
21,JEEP,22.0,12.0,15.0,23.0,-7.0,20.0,17.0,38.0,24.0,47.0
22,LAMBORGHINI,38.0,5.0,-19.0,-18.0,-30.0,5.0,23.0,51.0,39.0,45.0
23,LAND ROVER,360.0,355.0,280.0,321.0,349.0,437.0,91.0,-5.0,59.0,44.0
24,CITROEN,332.0,150.0,250.0,648.0,710.0,396.0,-292.0,-280.0,-148.0,42.0
25,ASTON MARTIN,21.0,17.0,-1.0,-3.0,-8.0,12.0,17.0,5.0,20.0,25.0
